branch_name	branch_id	S_sub	N_sub	branch_length	is_fg	is_mg
Node1	213	0.0000	0.9979	0.0000	yes	no
Node2	214	0.0000	0.0022	0.0000	yes	no
Node3	215	0.0000	0.0002	0.0000	yes	no
ternatum	216	1.0000	1.9901	0.0000	yes	no
Node121	217	0.0000	0.0233	0.0000	yes	no
tinoides	218	0.0000	0.0000	0.0000	yes	no
tinus	219	1.0000	0.0011	0.0044	yes	no
Node112	220	0.0000	2.3131	0.0000	yes	no
toronis	221	0.0000	0.0000	0.0000	yes	no
Node33	222	0.0000	0.0000	0.0000	yes	no
Node32	223	0.0000	1.0000	0.0000	yes	no
treleasei	224	1.0000	2.0000	0.0150	yes	no
Node111	225	0.0010	2.2930	0.0000	yes	no
Node106	226	1.9416	0.6918	0.0058	yes	no
trilobum	227	0.1303	2.0605	0.0000	yes	no
Node114	228	0.9949	2.9357	0.0000	yes	no
Node113	229	1.0056	2.9644	0.0139	yes	no
triphyllum	230	0.0000	0.0000	0.0000	yes	no
Node34	231	0.0000	0.0001	0.0000	yes	no
Node31	232	0.0000	0.0001	0.0000	yes	no
undulatum	233	0.0000	0.0000	0.0000	yes	no
Node27	234	0.0000	0.0000	0.0000	yes	no
Node26	235	0.0000	0.0000	0.0000	yes	no
Node25	236	0.0000	0.0000	0.0000	yes	no
Node24	237	0.0000	0.0000	0.0000	yes	no
Node23	238	0.0000	0.0001	0.0000	yes	no
Node22	239	0.0000	0.0001	0.0000	yes	no
Node21	240	0.0000	0.0001	0.0000	yes	no
urceolatum	241	0.0000	0.0000	0.0000	yes	no
Node102	242	0.0000	3.6425	0.0000	yes	no
Node101	243	0.0000	0.4648	0.0000	yes	no
utile	244	0.0000	0.0000	0.0000	yes	no
Node98	245	1.0000	0.0000	0.0017	yes	no
Node97	246	0.0000	0.0000	0.0000	yes	no
Node96	247	0.0000	0.0000	0.0000	yes	no
veitchii	248	0.0000	0.0000	0.0000	yes	no
Node95	249	0.0000	0.0000	0.0000	yes	no
Node92	250	0.0000	1.0000	0.0000	yes	no
Node88	251	0.0000	0.0000	0.0000	yes	no
Node87	252	0.0000	0.0000	0.0000	yes	no
Node86	253	0.2679	0.2487	0.0000	yes	no
Node77	254	0.0958	2.5713	0.0028	yes	no
venustum	255	1.0000	1.0000	0.0157	yes	no
Node40	256	0.0000	0.5271	0.0000	yes	no
Node37	257	0.0000	0.4930	0.0000	yes	no
vernicosum	258	0.0000	0.0000	0.0000	yes	no
Node120	259	0.0000	0.0000	0.0000	yes	no
Node119	260	0.0000	0.0002	0.0000	yes	no
Node118	261	2.0000	2.9904	0.0004	yes	no
Node117	262	0.0001	3.0085	0.0000	yes	no
Node116	263	0.0001	0.0027	0.0000	yes	no
villosum	264	0.0000	0.0000	0.0000	yes	no
Node19	265	0.0000	1.5150	0.0000	yes	no
Node17	266	0.0000	0.0001	0.0000	yes	no
Node16	267	0.0000	0.5596	0.0000	yes	no
